2024-09-05 09:16:44.304757: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:44.812632: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:45.310105: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:45.813806: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:46.397895: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:46.824545: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:47.335587: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:47.855983: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:48.353017: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:48.843561: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:49.358160: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:49.858997: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:50.949866: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:51.223939: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:51.725215: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:52.235539: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:52.797953: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:53.249043: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:53.755365: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:54.257612: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:54.774740: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:55.276785: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:55.780665: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:56.274968: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:56.789792: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:57.296805: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:57.802581: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:58.307435: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:58.814002: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:59.311755: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:16:59.813310: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:00.319907: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:00.819109: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:01.355934: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:01.847790: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:02.373569: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:02.864521: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:03.347086: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:03.857884: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:04.355179: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:04.846886: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:05.367641: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:05.949520: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:06.362189: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:06.883150: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:07.395975: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:07.904650: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:08.410790: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:08.916890: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
2024-09-05 09:17:09.427306: {'name': 'Architect Colony', 'pos': {'x': -48911.0, 'y': -49878.0}}
